211.044067;-0.291177;-0.260516;0.628045;0.3582;0.818199
212.626801;-0.396015;-0.356497;0.684063;0.312513;0.814414
214.209625;-0.484436;-0.43594;0.710673;0.232767;0.799967
215.79245;-0.565382;-0.509423;0.71865;0.130059;0.767739
217.37532;-0.64026;-0.573607;0.713171;0.011792;0.710942
218.958221;-0.705434;-0.627084;0.697539;-0.108745;0.622048
220.541183;-0.753638;-0.664724;0.675137;-0.221198;0.500606
222.124176;-0.777245;-0.678081;0.647082;-0.315087;0.355898
223.707184;-0.768561;-0.663694;0.614424;-0.383344;0.197719
225.290237;-0.726117;-0.617392;0.575707;-0.427892;0.04336
226.873337;-0.646423;-0.533946;0.529613;-0.452481;-0.096681
228.456451;-0.533229;-0.418332;0.476975;-0.461972;-0.209913
230.039627;-0.385417;-0.272253;0.416872;-0.460102;-0.284201
231.622803;-0.207589;-0.097485;0.347524;-0.450258;-0.304936
233.206024;-0.008234;0.095762;0.275265;-0.437094;-0.264203
234.789307;0.190818;0.283787;0.208212;-0.413331;-0.148126
236.372604;0.361057;0.43686;0.162902;-0.372212;0.039703
237.955933;0.460721;0.523335;0.153835;-0.311383;0.271819
239.539276;0.471212;0.520107;0.189612;-0.232956;0.506601
241.122681;0.402206;0.437363;0.263732;-0.143937;0.698595
242.7061;0.283047;0.312297;0.357903;-0.051473;0.827642
244.289581;0.153488;0.178987;0.455529;0.031106;0.897223
245.873047;0.034854;0.058479;0.542931;0.100151;0.925709
247.456573;-0.062801;-0.039037;0.614327;0.146536;0.932561
249.040115;-0.138487;-0.113156;0.669618;0.169933;0.931399
250.623688;-0.197857;-0.171527;0.710264;0.171688;0.928758
252.207306;-0.245063;-0.217588;0.737696;0.151667;0.927755
253.790939;-0.284785;-0.255047;0.757225;0.11211;0.927155
255.374603;-0.318759;-0.28844;0.767276;0.054199;0.925072
256.958313;-0.350151;-0.316957;0.772117;-0.018357;0.918122
258.542023;-0.379872;-0.344683;0.772136;-0.104536;0.902245
260.125763;-0.407492;-0.369233;0.767945;-0.201483;0.874589
261.709534;-0.432368;-0.391111;0.760873;-0.304606;0.831464
263.293335;-0.453536;-0.41001;0.750734;-0.41116;0.770744
264.877167;-0.469392;-0.42276;0.739239;-0.514274;0.691699
266.460999;-0.478747;-0.429253;0.726348;-0.609671;0.595873
268.044891;-0.479484;-0.427847;0.712459;-0.690801;0.485929
269.628815;-0.470209;-0.417359;0.697642;-0.756255;0.366768
271.212708;-0.451894;-0.398418;0.682453;-0.802827;0.24521
272.796692;-0.424776;-0.370754;0.667713;-0.831977;0.128122
274.380676;-0.389285;-0.334933;0.651473;-0.846124;0.02185
275.964661;-0.347088;-0.29251;0.634958;-0.850157;-0.068647
277.548676;-0.298509;-0.244298;0.617196;-0.848793;-0.139396
279.132721;-0.244724;-0.190197;0.597275;-0.847301;-0.189229
280.716797;-0.186308;-0.132247;0.574693;-0.848772;-0.216112
282.300873;-0.124655;-0.070703;0.550305;-0.855767;-0.218725
283.884979;-0.060463;-0.006139;0.523924;-0.869962;-0.194865
285.469147;0.003054;0.057284;0.497079;-0.887512;-0.143224
287.053284;0.063524;0.118819;0.473404;-0.906817;-0.062925
288.637451;0.118704;0.17456;0.453966;-0.917052;0.045088
290.221649;0.164211;0.220609;0.445843;-0.909448;0.176395
291.805847;0.19587;0.252442;0.449519;-0.877934;0.320469
293.390106;0.209143;0.264179;0.467194;-0.815482;0.465379
294.974365;0.203347;0.25657;0.499779;-0.727232;0.599292
296.558624;0.180717;0.232652;0.540178;-0.623726;0.710969
298.142914;0.145148;0.192071;0.583838;-0.514872;0.797645
299.727234;0.101949;0.146948;0.630987;-0.409268;0.85955
301.311554;0.056564;0.098734;0.671724;-0.317635;0.901352
302.895905;0.011244;0.048379;0.707367;-0.238494;0.928035
304.480255;-0.033097;0.002472;0.742127;-0.173999;0.943233
306.064636;-0.073895;-0.038957;0.768467;-0.126985;0.951854
307.649017;-0.111235;-0.080298;0.789529;-0.092121;0.955491
309.233429;-0.146535;-0.115885;0.810316;-0.068972;0.955036
310.817841;-0.179115;-0.147137;0.826155;-0.058477;0.954165
312.402283;-0.208244;-0.179787;0.835668;-0.056408;0.951336
313.986725;-0.236521;-0.208298;0.847494;-0.061937;0.946385
315.571198;-0.264023;-0.233169;0.857071;-0.076025;0.940967
317.15567;-0.288548;-0.259288;0.86041;-0.096736;0.934499
318.740173;-0.312336;-0.2846;0.865264;-0.121833;0.925276
320.324646;-0.337201;-0.306341;0.871796;-0.153395;0.913681
321.90918;-0.360378;-0.328344;0.873551;-0.189505;0.900109
323.493713;-0.381309;-0.351776;0.872617;-0.227775;0.883365
325.078247;-0.403291;-0.371848;0.87573;-0.269975;0.862352
326.662781;-0.425517;-0.390365;0.877916;-0.316686;0.83777
328.247375;-0.444895;-0.410915;0.874728;-0.362886;0.808964
329.83194;-0.462481;-0.429832;0.872277;-0.409849;0.775721
331.416504;-0.481781;-0.445185;0.874079;-0.460049;0.736535
333.001099;-0.499551;-0.460075;0.873432;-0.509643;0.693359
334.585693;-0.512752;-0.474805;0.86813;-0.554828;0.644381
336.170319;-0.524804;-0.487447;0.864821;-0.59875;0.591159
337.754944;-0.536694;-0.495563;0.864731;-0.643673;0.533778
339.339539;-0.546518;-0.501831;0.86366;-0.684172;0.472631
340.924194;-0.550475;-0.507745;0.857689;-0.716483;0.407715
342.50885;-0.551964;-0.510155;0.852883;-0.745933;0.340222
344.093475;-0.553024;-0.507905;0.852072;-0.775429;0.271679
345.678131;-0.551608;-0.503446;0.850971;-0.798601;0.203601
